Prof_ID,Professor_Name,Course_ID,Daily_Max_Load,Daily_Min_Load,Preferred_Online_Days,Unavailable_Slots,Disliked_Slots,Weekly_Max_Load,Weekly_Min_Load
P112,Dr. Synthetic_112,"COURSE_91, COURSE_155",3,1,Thu,"Mon_11-12, Tue_12-13",Thu_12-13,10,2
P113,Prof. Synthetic_113,"COURSE_155, COURSE_180",3,1,Mon,"Wed_15-16, Mon_16-17","Thu_9-10, Mon_10-11, Wed_11-12",10,2
P114,Dr. Synthetic_114,"COURSE_180, COURSE_188",3,1,,Wed_14-15,"Wed_11-12, Wed_9-10, Thu_15-16",10,2
P115,Prof. Synthetic_115,"COURSE_188, COURSE_71",3,1,"Thu,Fri",Wed_11-12,"Mon_15-16, Mon_14-15, Mon_12-13",10,2
P116,Dr. Synthetic_116,"COURSE_71, COURSE_34",3,1,Fri,Mon_11-12,"Wed_12-13, Mon_16-17",10,2
P117,Dr. Synthetic_117,"COURSE_34, COURSE_177",3,1,Fri,"Tue_9-10, Wed_12-13",Thu_14-15,10,2
P118,Dr. Synthetic_118,"COURSE_177, COURSE_128",3,1,,"Tue_10-11, Thu_16-17","Thu_9-10, Fri_12-13",10,2
P119,Dr. Synthetic_119,"COURSE_128, COURSE_149",3,1,Wed,"Fri_11-12, Tue_12-13",Mon_10-11,10,2
P120,Dr. Synthetic_120,"COURSE_149, COURSE_160",3,1,"Fri,Thu","Tue_16-17, Thu_11-12","Thu_10-11, Mon_15-16, Tue_9-10",10,2
P121,Dr. Synthetic_121,"COURSE_160, COURSE_164",3,1,,"Mon_15-16, Thu_15-16","Mon_16-17, Thu_12-13",10,2
P122,Dr. Synthetic_122,"COURSE_164, COURSE_28",3,1,"Fri,Mon","Mon_16-17, Fri_15-16","Tue_11-12, Thu_15-16, Wed_15-16",10,2
P123,Dr. Synthetic_123,"COURSE_28, COURSE_11",3,1,"Thu,Mon","Wed_16-17, Tue_14-15",Fri_11-12,10,2
P124,Dr. Synthetic_124,"COURSE_11, COURSE_66",3,1,,Fri_11-12,Mon_16-17,10,2
P125,Dr. Synthetic_125,"COURSE_66, COURSE_26",3,1,,Mon_14-15,"Wed_15-16, Fri_10-11",10,2
P126,Dr. Synthetic_126,"COURSE_26, COURSE_184",3,1,"Wed,Fri",Tue_11-12,Mon_9-10,10,2
P127,Dr. Synthetic_127,"COURSE_184, COURSE_168",3,1,"Thu,Mon","Thu_14-15, Tue_10-11",Thu_15-16,10,2
P128,Dr. Synthetic_128,"COURSE_168, COURSE_83",3,1,Mon,Fri_16-17,"Mon_15-16, Thu_9-10",10,2
P129,Dr. Synthetic_129,"COURSE_83, COURSE_4",3,1,,Fri_11-12,"Mon_9-10, Mon_15-16",10,2
P130,Dr. Synthetic_130,"COURSE_4, COURSE_143",3,1,"Mon,Tue",Mon_10-11,Thu_9-10,10,2
P131,Prof. Synthetic_131,"COURSE_143, COURSE_44",3,1,Tue,Tue_14-15,"Thu_10-11, Fri_12-13, Mon_15-16",10,2
P132,Dr. Synthetic_132,"COURSE_44, COURSE_111",3,1,"Wed,Mon","Fri_10-11, Mon_16-17","Wed_10-11, Thu_15-16",10,2
P133,Prof. Synthetic_133,"COURSE_111, COURSE_60",3,1,Mon,"Fri_9-10, Mon_12-13",Wed_12-13,10,2
P134,Prof. Synthetic_134,"COURSE_60, COURSE_129",3,1,"Thu,Fri","Thu_16-17, Fri_10-11","Mon_14-15, Thu_10-11, Mon_11-12",10,2
P135,Prof. Synthetic_135,"COURSE_129, COURSE_144",3,1,,"Thu_16-17, Mon_15-16",Thu_11-12,10,2
P136,Dr. Synthetic_136,"COURSE_144, COURSE_63",3,1,"Tue,Mon",Mon_16-17,Mon_14-15,10,2
P137,Dr. Synthetic_137,"COURSE_63, COURSE_72",3,1,"Thu,Wed",Fri_9-10,"Mon_15-16, Thu_16-17",10,2
P138,Prof. Synthetic_138,"COURSE_72, COURSE_53",3,1,Thu,Tue_15-16,"Thu_14-15, Fri_14-15, Thu_11-12",10,2
P139,Prof. Synthetic_139,"COURSE_53, COURSE_148",3,1,"Fri,Thu","Mon_16-17, Tue_12-13","Thu_14-15, Mon_12-13",10,2
P140,Dr. Synthetic_140,"COURSE_148, COURSE_186",3,1,Tue,Wed_12-13,Thu_14-15,10,2
P141,Prof. Synthetic_141,"COURSE_186, COURSE_48",3,1,Wed,"Fri_14-15, Fri_10-11","Wed_14-15, Fri_15-16, Fri_11-12",10,2
P142,Dr. Synthetic_142,"COURSE_48, COURSE_116",3,1,"Mon,Wed","Mon_15-16, Wed_16-17",Fri_12-13,10,2
P143,Dr. Synthetic_143,"COURSE_116, COURSE_133",3,1,"Fri,Wed",Fri_16-17,"Fri_11-12, Tue_12-13, Mon_16-17",10,2
P144,Dr. Synthetic_144,"COURSE_133, COURSE_99",3,1,Fri,Mon_14-15,"Fri_15-16, Thu_16-17",10,2
P145,Prof. Synthetic_145,"COURSE_99, COURSE_45",3,1,,Wed_9-10,"Wed_14-15, Thu_14-15",10,2
P146,Dr. Synthetic_146,"COURSE_45, COURSE_115",3,1,,"Tue_12-13, Wed_10-11","Thu_12-13, Fri_9-10",10,2
P147,Prof. Synthetic_147,"COURSE_115, COURSE_105",3,1,"Tue,Fri",Wed_16-17,"Fri_9-10, Tue_12-13",10,2
P148,Dr. Synthetic_148,"COURSE_105, COURSE_173",3,1,Thu,"Wed_16-17, Fri_14-15",Tue_10-11,10,2
P149,Dr. Synthetic_149,"COURSE_173, COURSE_132",3,1,,Mon_16-17,"Thu_10-11, Thu_15-16, Tue_15-16",10,2
P150,Dr. Synthetic_150,"COURSE_132, COURSE_167",3,1,"Mon,Wed",Tue_15-16,"Tue_14-15, Wed_9-10, Thu_9-10",10,2
P151,Dr. Synthetic_151,"COURSE_167, COURSE_187",3,1,Thu,"Wed_9-10, Fri_12-13","Mon_16-17, Fri_11-12, Fri_11-12",10,2
P152,Prof. Synthetic_152,"COURSE_187, COURSE_82",3,1,Wed,Fri_11-12,"Thu_15-16, Fri_15-16, Fri_16-17",10,2
P153,Prof. Synthetic_153,"COURSE_82, COURSE_134",3,1,,Fri_9-10,"Fri_12-13, Mon_16-17",10,2
P154,Prof. Synthetic_154,"COURSE_134, COURSE_169",3,1,"Tue,Fri",Wed_16-17,Wed_16-17,10,2
P155,Prof. Synthetic_155,"COURSE_169, COURSE_75",3,1,,"Wed_11-12, Fri_15-16","Fri_15-16, Thu_14-15",10,2
P156,Prof. Synthetic_156,"COURSE_75, COURSE_37",3,1,"Fri,Tue","Mon_9-10, Mon_9-10","Mon_10-11, Mon_16-17, Thu_14-15",10,2
P157,Prof. Synthetic_157,"COURSE_37, COURSE_40",3,1,,"Thu_16-17, Mon_14-15",Wed_14-15,10,2
P158,Prof. Synthetic_158,"COURSE_40, COURSE_181",3,1,"Thu,Tue",Fri_11-12,"Thu_9-10, Mon_15-16",10,2
P159,Dr. Synthetic_159,"COURSE_181, COURSE_69",3,1,Wed,"Tue_14-15, Thu_14-15",Thu_15-16,10,2
P160,Dr. Synthetic_160,"COURSE_69, COURSE_142",3,1,Thu,"Tue_16-17, Mon_9-10",Mon_11-12,10,2
P161,Dr. Synthetic_161,"COURSE_142, COURSE_161",3,1,,Mon_9-10,"Tue_15-16, Thu_12-13, Tue_16-17",10,2
P162,Prof. Synthetic_162,"COURSE_161, COURSE_17",3,1,"Thu,Fri","Mon_11-12, Tue_16-17","Fri_10-11, Wed_9-10, Fri_9-10",10,2
P163,Dr. Synthetic_163,"COURSE_17, COURSE_95",3,1,"Mon,Tue",Wed_16-17,"Tue_11-12, Fri_16-17",10,2
P164,Prof. Synthetic_164,"COURSE_95, COURSE_46",3,1,Mon,Tue_11-12,"Tue_14-15, Tue_16-17",10,2
P165,Dr. Synthetic_165,"COURSE_46, COURSE_51",3,1,"Fri,Mon",Fri_11-12,"Wed_11-12, Tue_16-17, Mon_14-15",10,2
P166,Prof. Synthetic_166,"COURSE_51, COURSE_61",3,1,,"Thu_12-13, Mon_11-12","Tue_12-13, Wed_15-16, Wed_16-17",10,2
P167,Prof. Synthetic_167,"COURSE_61, COURSE_70",3,1,Mon,"Tue_11-12, Wed_12-13","Wed_16-17, Tue_14-15, Wed_11-12",10,2
P168,Prof. Synthetic_168,"COURSE_70, COURSE_22",3,1,"Wed,Mon","Wed_15-16, Mon_14-15","Tue_11-12, Thu_16-17",10,2
P169,Dr. Synthetic_169,"COURSE_22, COURSE_78",3,1,Tue,"Wed_15-16, Tue_9-10","Fri_11-12, Thu_12-13, Thu_9-10",10,2
P170,Dr. Synthetic_170,"COURSE_78, COURSE_23",3,1,Wed,Wed_10-11,Tue_10-11,10,2
P171,Prof. Synthetic_171,"COURSE_23, COURSE_137",3,1,"Wed,Thu","Wed_14-15, Mon_11-12",Wed_15-16,10,2
P172,Prof. Synthetic_172,"COURSE_137, COURSE_5",3,1,,Mon_12-13,"Tue_14-15, Mon_15-16, Fri_14-15",10,2
P173,Dr. Synthetic_173,"COURSE_5, COURSE_94",3,1,Mon,"Wed_12-13, Fri_12-13",Mon_12-13,10,2
P174,Dr. Synthetic_174,"COURSE_94, COURSE_41",3,1,"Mon,Fri",Thu_16-17,"Thu_9-10, Fri_14-15, Fri_10-11",10,2
P175,Dr. Synthetic_175,"COURSE_41, COURSE_103",3,1,Wed,"Tue_10-11, Thu_15-16",Mon_14-15,10,2
P176,Dr. Synthetic_176,"COURSE_103, COURSE_13",3,1,"Wed,Thu","Thu_9-10, Mon_9-10",Fri_15-16,10,2
P177,Prof. Synthetic_177,"COURSE_13, COURSE_30",3,1,,Tue_15-16,"Fri_10-11, Mon_12-13",10,2
P178,Dr. Synthetic_178,"COURSE_30, COURSE_157",3,1,"Mon,Wed",Thu_12-13,"Tue_12-13, Wed_16-17, Mon_11-12",10,2
P179,Prof. Synthetic_179,"COURSE_157, COURSE_93",3,1,Wed,Mon_12-13,Wed_15-16,10,2
P180,Prof. Synthetic_180,"COURSE_93, COURSE_1",3,1,Fri,"Thu_12-13, Thu_12-13","Fri_11-12, Tue_16-17",10,2
P181,Dr. Synthetic_181,"COURSE_1, COURSE_141",3,1,"Mon,Wed",Wed_11-12,"Wed_12-13, Fri_10-11",10,2
P182,Prof. Synthetic_182,"COURSE_141, COURSE_146",3,1,,Wed_12-13,"Wed_10-11, Tue_12-13",10,2
P183,Dr. Synthetic_183,"COURSE_146, COURSE_64",3,1,"Mon,Thu","Wed_10-11, Thu_16-17",Thu_15-16,10,2
P184,Dr. Synthetic_184,"COURSE_64, COURSE_38",3,1,Fri,Tue_16-17,Thu_16-17,10,2
P185,Dr. Synthetic_185,"COURSE_38, COURSE_59",3,1,,"Tue_14-15, Tue_14-15",Thu_15-16,10,2
P186,Prof. Synthetic_186,"COURSE_59, COURSE_176",3,1,Mon,"Thu_9-10, Fri_15-16","Fri_15-16, Fri_14-15",10,2
P187,Prof. Synthetic_187,"COURSE_176, COURSE_62",3,1,"Tue,Wed","Wed_12-13, Wed_15-16","Mon_11-12, Wed_11-12, Tue_14-15",10,2
P188,Dr. Synthetic_188,"COURSE_62, COURSE_179",3,1,Wed,Thu_14-15,"Thu_16-17, Thu_9-10",10,2
